Microsoft (R) Windows Script Host Version 5.812
Copyright (C) Microsoft Corporation. All rights reserved.

year 2022, quarter 1, ticker AAF, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker AAR, open 2, close 2, change 0, change% 0
year 2022, quarter 1, ticker ABJ, open 46, close 46, change 0, change% 0
year 2022, quarter 1, ticker ABK, open 39, close 38, change -1, change% -2.56410256410256
year 2022, quarter 1, ticker ABKV, open 26, close 27, change 1, change% 3.84615384615385
year 2022, quarter 1, ticker ACJ, open 15, close 15, change 0, change% 0
year 2022, quarter 1, ticker ADB, open 25, close 25, change 0, change% 0
year 2022, quarter 1, ticker AEV, open 42, close 40, change -2, change% -4.76190476190476
year 2022, quarter 1, ticker AEY, open 1, close 1, change 0, change% 0
year 2022, quarter 1, ticker AGF, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker AHAO, open 11, close 11, change 0, change% 0
year 2022, quarter 1, ticker AIQ, open 12, close 12, change 0, change% 0
year 2022, quarter 1, ticker AIQK, open 23, close 25, change 2, change% 8.69565217391304
year 2022, quarter 1, ticker AJJ, open 111, close 112, change 1, change% 0.900900900900901
year 2022, quarter 1, ticker AJL, open 14, close 14, change 0, change% 0
year 2022, quarter 1, ticker AJR, open 17, close 16, change -1, change% -5.88235294117647
year 2022, quarter 1, ticker AJS, open 17, close 17, change 0, change% 0
year 2022, quarter 1, ticker AKKV, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker AKUC, open 44, close 41, change -3, change% -6.81818181818182
year 2022, quarter 1, ticker ANO, open 54, close 54, change 0, change% 0
year 2022, quarter 1, ticker ANQ, open 8, close 9, change 1, change% 12.5
year 2022, quarter 1, ticker ANVE, open 35, close 35, change 0, change% 0
year 2022, quarter 1, ticker AORS, open 8, close 8, change 0, change% 0
year 2022, quarter 1, ticker APM, open 83, close 78, change -5, change% -6.02409638554217
year 2022, quarter 1, ticker AQA, open 3, close 3, change 0, change% 0
year 2022, quarter 1, ticker AQYW, open 5, close 5, change 0, change% 0
year 2022, quarter 1, ticker AREZ, open 76, close 77, change 1, change% 1.31578947368421
year 2022, quarter 1, ticker ASC, open 20, close 20, change 0, change% 0
year 2022, quarter 1, ticker ASX, open 56, close 55, change -1, change% -1.78571428571429
year 2022, quarter 1, ticker ATH, open 90, close 93, change 3, change% 3.33333333333333
year 2022, quarter 1, ticker AUE, open 21, close 22, change 1, change% 4.76190476190476
year 2022, quarter 1, ticker AUJD, open 6, close 6, change 0, change% 0
year 2022, quarter 1, ticker AVK, open 15, close 14, change -1, change% -6.66666666666667
year 2022, quarter 1, ticker AWB, open 13, close 14, change 1, change% 7.69230769230769
year 2022, quarter 1, ticker AWW, open 20, close 19, change -1, change% -5
year 2022, quarter 1, ticker AXD, open 16, close 16, change 0, change% 0
year 2022, quarter 1, ticker AXO, open 32, close 32, change 0, change% 0
year 2022, quarter 1, ticker AXOS, open 33, close 35, change 2, change% 6.06060606060606
year 2022, quarter 1, ticker AXU, open 33, close 33, change 0, change% 0
year 2022, quarter 1, ticker AYJ, open 9, close 9, change 0, change% 0
year 2022, quarter 1, ticker AYLM, open 7, close 8, change 1, change% 14.2857142857143
year 2022, quarter 1, ticker AYX, open 34, close 33, change -1, change% -2.94117647058824
year 2022, quarter 1, ticker AYZ, open 67, close 67, change 0, change% 0
